epoch,acc,nmi,pur,ari,loss
100,0.4636,0.2592755144160418,0.4648,0.22266009152944824,0.24674735963344574
200,0.48,0.2931910752841386,0.4856,0.252470652397547,0.20132872462272644
300,0.542,0.33947294008735174,0.5644,0.29777737013618244,0.1654343605041504
400,0.956,0.9091002990520038,0.956,0.8961819221297226,0.1392248570919037
500,0.976,0.9360796487378746,0.976,0.9416473296798965,0.12192794680595398
600,0.9796,0.9471777166857132,0.9796,0.9501899214575823,0.11157611012458801
700,0.8484,0.7425834059368315,0.8484,0.6663264188468561,0.10630333423614502
800,0.524,0.43668153656325776,0.5244,0.1796081332638789,0.10303457081317902
900,0.684,0.5802473171871051,0.684,0.4018653314896684,0.09972347319126129
1000,0.4836,0.4547380657257172,0.5192,0.28103696859305227,0.09544949978590012
1100,0.538,0.5380843415381652,0.538,0.3395881964073266,0.09098133444786072
1200,0.518,0.49625385636728,0.5276,0.3364713190569418,0.08676539361476898
1300,0.534,0.38875317509047275,0.554,0.23094737997083492,0.08295926451683044
